Product,Region,Agent ID,Customer Type,Call Duration,Resolved,Satisfaction Ratio,Up-sell Amount
Desktop,Mid-West,AID_001,Individual,94,Yes,3.2,170
Laptop,West,AID_002,SME,83,Yes,2.4,250
Misc,North,AID_003,Individual,76,Yes,2.7,160
Misc,West,AID_004,Corporate,76,No,2.7,170
Laptop,East,AID_005,SME,67,Yes,2.7,0
Monitor,East,AID_006,SME,62,Yes,2.9,240
Misc,West,AID_007,SME,84,Yes,3.2,0
Laptop,Mid-West,AID_008,SME,63,Yes,2.2,120
Monitor,North,AID_009,SME,81,Yes,3.2,160
Desktop,North,AID_010,profit,79,Yes,3.5,290
Laptop,Mid-West,AID_011,Corporate,63,Yes,3.4,0
Desktop,South,AID_012,Corporate,75,Yes,3.3,230
Software,Mid-West,AID_013,SME,67,Yes,4,200
Software,South,AID_014,Individual,86,Yes,3.4,250
Monitor,Mid-West,AID_015,profit,90,Yes,3.4,0
Accessories,East,AID_016,profit,77,Yes,2.3,190
Laptop,West,AID_017,profit,87,No,2.4,200
Software,East,AID_018,Individual,69,Yes,3.2,240
Misc,North,AID_019,Individual,76,Yes,2.4,200
Software,East,AID_020,profit,87,Yes,3.3,170
Laptop,Mid-West,AID_021,Individual,86,Yes,3.1,150
Software,East,AID_022,Corporate,79,Yes,2.5,170
Misc,North,AID_023,profit,65,Yes,2.4,210
Laptop,East,AID_024,SME,77,Yes,2.8,200
Software,South,AID_025,profit,82,Yes,3.9,240
Software,South,AID_026,SME,76,Yes,3.4,150
Desktop,North,AID_027,SME,76,Yes,2.8,0
Software,East,AID_028,Corporate,83,Yes,2.6,200
Laptop,North,AID_029,profit,78,Yes,3.8,280
Desktop,Mid-West,AID_030,Corporate,75,Yes,3.8,250
Laptop,East,AID_031,Individual,69,Yes,2.8,140
Laptop,North,AID_032,Individual,82,Yes,3.6,0
Accessories,North,AID_033,Corporate,66,Yes,4,0
Misc,East,AID_034,SME,77,Yes,2.9,0
Monitor,North,AID_035,Corporate,69,Yes,3.6,220
Monitor,Mid-West,AID_036,Individual,75,Yes,2.9,180
Monitor,Mid-West,AID_037,Individual,77,Yes,2.3,0
Accessories,East,AID_038,profit,78,Yes,3.2,0
Monitor,West,AID_039,Corporate,82,Yes,2.8,260
Desktop,West,AID_040,profit,56,Yes,3,240
Accessories,South,AID_041,Corporate,86,Yes,4,190
Software,North,AID_042,Individual,66,Yes,2.8,0
Desktop,Mid-West,AID_043,Corporate,96,Yes,2.8,190
Misc,Mid-West,AID_044,SME,60,Yes,2.7,0
Software,Mid-West,AID_045,profit,70,Yes,3.8,180
Laptop,West,AID_046,profit,78,Yes,2.1,280
Laptop,South,AID_047,Individual,74,Yes,3.5,190
Laptop,South,AID_048,Corporate,79,Yes,2.9,160
Misc,West,AID_049,SME,76,Yes,3,90
Desktop,Mid-West,AID_050,Individual,72,Yes,1.9,0
Laptop,West,AID_051,Individual,65,Yes,2.7,0
Desktop,North,AID_052,Corporate,78,Yes,3.4,170
Laptop,West,AID_053,profit,78,Yes,2.6,270
Software,East,AID_054,Individual,78,Yes,2.5,180
Laptop,East,AID_055,SME,65,Yes,2.7,150
Monitor,Mid-West,AID_056,profit,58,Yes,3.8,240
Desktop,South,AID_057,Corporate,67,Yes,3.1,0
Misc,Mid-West,AID_058,Individual,75,No,2.5,0
Misc,East,AID_059,SME,83,Yes,2.9,190
Laptop,South,AID_060,Individual,67,Yes,2.6,130
Accessories,West,AID_061,SME,60,Yes,2.4,0
Desktop,North,AID_062,profit,76,Yes,3.3,220
Laptop,Mid-West,AID_063,Individual,73,Yes,3.5,220
Laptop,East,AID_064,SME,82,Yes,3,140
Misc,North,AID_065,Corporate,72,Yes,2.8,160
Software,East,AID_066,SME,69,Yes,2.6,330
Laptop,East,AID_067,profit,76,Yes,3.8,100
Misc,Mid-West,AID_068,profit,64,Yes,3.4,250
Desktop,West,AID_069,Corporate,69,Yes,3.6,180
Monitor,North,AID_070,Individual,78,Yes,3.3,200
Monitor,Mid-West,AID_071,Individual,80,Yes,2.9,110
Software,Mid-West,AID_072,SME,84,Yes,2.6,0
Monitor,Mid-West,AID_073,profit,80,Yes,3,150
Laptop,East,AID_074,profit,77,Yes,2.6,0
Laptop,South,AID_075,Corporate,73,Yes,2.7,0
Accessories,Mid-West,AID_076,Corporate,78,Yes,3.1,230
Software,South,AID_077,profit,79,Yes,3.8,170
Desktop,Mid-West,AID_078,profit,81,Yes,2.9,190
Software,Mid-West,AID_079,profit,69,Yes,2.8,250
Misc,West,AID_080,Corporate,72,Yes,3.1,0
Misc,Mid-West,AID_081,profit,70,Yes,2.2,270
Desktop,Mid-West,AID_082,profit,84,Yes,3.7,140
Monitor,North,AID_083,Corporate,78,Yes,2.7,230
Desktop,East,AID_084,Individual,79,Yes,3.5,0
Software,Mid-West,AID_085,Corporate,71,Yes,2.8,230
Accessories,West,AID_086,profit,70,Yes,3.3,0
Accessories,East,AID_087,Corporate,85,Yes,2.8,0
Accessories,West,AID_088,profit,67,Yes,2,0
Monitor,Mid-West,AID_089,SME,77,No,2.3,260
Misc,East,AID_090,SME,78,Yes,3.7,320
Software,South,AID_091,SME,64,Yes,3.2,250
